"","Year","Sort Order","region","Notes","Code","Type of Data (a)","Total","Other South","Other North","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia (Plurinational State of)","Bonaire, Sint Eustatius and Saba","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","China, Hong Kong SAR","China, Macao SAR","Colombia","Comoros","Congo","Cook Islands","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Curaçao","Cyprus","Czechia","Dem. People's Republic of Korea","Democratic Republic of the Congo","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Eswatini","Ethiopia","Falkland Islands (Malvinas)","Faroe Islands","Fiji","Finland","France","French Guiana","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Holy See","Honduras","Hungary","Iceland","India","Indonesia","Iran (Islamic Republic of)","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Kuwait","Kyrgyzstan","Lao People's Democratic Republic","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Micronesia (Fed. States of)","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Republic of Korea","Republic of Moldova","Réunion","Romania","Russian Federation","Rwanda","Saint Helena","Saint Kitts and Nevis","Saint Lucia","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Thailand","Timor-Leste","Togo","Tokelau","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United Republic of Tanzania","United States of America","United States Virgin Islands","Uruguay","Uzbekistan","Vanuatu","Venezuela (Bolivarian Republic of)","Viet Nam","Wallis and Futuna Islands","Western Sahara","Yemen","Zambia","Zimbabwe","Northern_America","Northern_America2"
"1",1990,"1990015","Africa",NA,903,NA,15689666,807899,258638,1037,504,31807,0,0,651580,0,707,1084,784,0,7318,7204,24,85,1706,3078,30,1061,10934,0,219473,61,0,158,0,236,23203,3307,23,88,3952,1014919,332476,11070,0,65623,6033,0,37225,320620,0,719,21617,1877,0,183,21133,34554,0,0,316953,603,1780,0,1047,1315,511,340767,2493,1841,0,0,9,33380,618,27732,136373,82,34614,1449227,0,0,47,1419,143740,0,0,6625,23613,0,97653,243344,33,8267,0,0,0,0,97,338046,39300,54,0,0,0,483,16,34437,8035,1242,7546,6204,0,3626,37590,192,7162,15394,545,87373,0,9647,48,33,199,21383,190957,498523,16291,0,192,83,15895,131850,12001,60,596072,163,0,0,120979,6540,1800,153,0,249,1,0,0,14297,2142332,220,14768,23,152,23225,0,1594,106,146295,293246,21,206,28,1145,1715,4923,0,59,59,116,203,4536,3475,29457,0,1106,3100,48,2100,1689,46505,539287,220,26,0,0,0,0,0,8084,23326,239474,1964,6641,42134,694,0,272,15,0,738124,72864,509162,6390,2660,242419,292614,0,2932,12232,25911,180,3994,11,174468,0,0,26,4073,3817,79,0,0,238388,2570,2023,165322,141874,52040,20,111,328,0,322,156,0,167905,17828,58056,163304,58134,58134
"2",1990,"1990016","Asia",NA,935,NA,48209949,2005398,961154,6702728,1291,20924,0,0,581,0,0,28270,243388,9,35094,14070,577509,0,9278,5287899,0,195573,8936,0,2,0,27895,111,0,7148,2,75906,18,19610,483744,0,1,12,118677,14,32681,0,4,12561,0,2644,2842685,29981,81233,1368,0,121,0,35,0,93,104,0,9210,467,22346,178,3223,1,0,3,107,1013469,3,0,8640,3444,18,123669,0,0,2386,1878,42813,0,0,0,0,117706,265317,705,1,114719,0,0,11,58,9,0,0,0,1,0,1,15922,18,5350529,1315257,111858,1353689,1570,0,99111,9781,4,61052,226702,137253,8237,0,55446,39483,229221,13801,83639,0,0,34364,0,28272,14,2,2,366794,1827,0,18,0,0,244,2550,0,2292,0,0,158,0,0,163288,3,640337,1,0,740561,21053,0,7816,3,39,4768,0,37872,0,6431,10072,2891169,3,5,9,2,13247,684653,107815,4741,9,10157,901419,57455,0,136664,5024473,0,0,0,0,0,0,0,0,0,57423,18,665,2,1,66254,0,126,39,0,42507,10038,5780,5124,624222,1533729,277219,29,3763,13209,443703,66286,107697,736,0,0,0,4,44331,83256,10692,0,0,2063,868519,71876,137217,89,221975,37,4333,349088,0,710,157530,0,0,426193,1080,76,254656,254656
"3",1990,"1990017","Europe",NA,908,NA,49608231,432964,871477,82736,170977,857978,963,3404,163553,434,618,103854,610471,727,137808,334710,1046377,504,993,130797,22022,1544226,277088,1257,14672,61553,529,9915,2843,751548,2613,133363,80,757,109550,6318,4116,65791,75272,46635,152316,170,9094,3487,18625,84097,261274,76599,984,69128,18927,61374,10,3027,46145,349479,35454,38636,125778,147698,15487,90298,119143,3321,2830,37008,13517,135397,6300,8433,8532,92057,328,66841,159,7240,820,198461,688603,7,35,8659,11139,794255,1468166,98718,11310,484693,8997,1464,28,3,10782,13422,16069,22309,30031,10,3086,165727,11567,533424,208724,258799,87217,652060,10004,59461,1598890,141726,104641,34460,2824054,119390,51,4175,480853,55168,156919,149947,245,6711,19446,3234,269095,33050,42183,10931,53437,224,51219,33708,3,8,13215,76307,0,32399,17,4033,24240,75846,1297,1535101,77880,12279,872,2,4319,310778,20,49307,3420,3370,88671,0,322536,268,76958,655,323236,12,3171,579,3535,58787,174506,705505,1089715,316,548,69923,553934,11,525028,7270336,8076,508,958,1420,11,1221,114,1376,5881,9904,127725,688901,3894,12165,40205,13798,119464,69900,63,44672,101596,1,813826,171524,6380,8118,156939,129013,220892,73660,469388,68281,996,19226,3,213,18854,409534,2448405,248513,25,74,54922,4450625,2165,779773,34268,546592,36,19244,1062226,156,68927,286822,884,333,5842,19235,25028,769469,769469
"4",1990,"1990018","Latin America and the Caribbean",NA,904,NA,7161371,344362,64989,199,503,863,0,55,5400,1507,6485,180164,1366,5948,3056,13173,5,1721,53,71,5338,680,7823,3934,1,91,16,181152,306,33,5,194655,2895,2,2639,27,21,59,168,50,25285,104,19,13,101,297969,50072,2465,33,643244,4,102,11,21636,158,3001,59378,4123,136,7006,1284,53,2132,0,18623,78647,48291,5876,733802,3,25,211,3,159,23,2,7,812,113595,2783,18,10,11,38,80796,91,40,8904,513,19423,5655,6,102929,5,3,26812,234106,21,42258,10949,54,6508,511,1039,290,1164,0,9488,514797,13682,106383,1370,13,105,0,93,4,1475,480,33733,17,9,279,178,2288,265,27,1,186,2,10,63,0,10725,10,1,0,43120,10,30,7,241,2014,2445,1077,55,6,0,14,19290,3,464,263014,12,783,2,13451,8,1108,34,666,1,44535,4,283290,83613,2106,52514,364122,18768,37,19244,1015,862,13631,26114,4,125,10802,11897,52,18625,0,43,12,1512,144,942,0,1,89,912,161,1978,0,34,1097,0,511194,37,1315,24,19461,3618,13505,25914,2,324,0,4,0,1,14587,142,4504,3,2090,8,22,6315,46,36002,36,578299,2235,176204,41,211,69923,260,12,1,14,5,28,604240,604240
"5",1990,"1990019","Northern America",NA,905,NA,27610408,2923653,198963,33765,6025,8372,0,0,3518,106,13922,103223,43252,3886,55694,113299,10067,22694,297,25617,57240,25806,55959,30892,149,9646,0,32848,57,80489,77,89517,72,4246,11453,38,489,14416,136066,3463,747342,96,14,106,0,77626,942103,377459,11699,293671,19,87,0,44777,3058,23393,738719,396,14171,102819,106,4975,64250,111,20978,350535,150999,93194,492578,10,15761,15380,101,48570,0,261,31287,38477,172949,48,53,38,1499,7438,885412,27310,201,257786,0,22273,125,0,234298,1257,24,184130,264692,0,111125,165039,5624,617202,55685,240408,51791,197169,0,102155,918065,432744,302020,33896,9477,30285,0,11331,2089,185437,33591,138763,77,11580,4608,0,36385,2604,1180,293,49300,0,111,19387,1086,288,24,5095,0,4316624,2741,130,24,0,3877,31657,691,22172,167,0,2382,220571,58,22597,174858,48,58379,0,17507,0,50272,14,116063,0,86855,106,10759,155209,1031071,565580,366307,1180565,259,600119,13216,63,123542,285987,307,0,8911,8672,422,17181,11471,0,0,14364,2753,5763,22486,7433,18919,113,10286,12337,0,21954,58469,0,87222,38432,26467,5747,3373,61306,54921,47342,1804,112507,0,120,0,10764,163130,6539,66805,675,196,0,15282,205056,2874,1333457,25343,242567,34,25799,16092,0,45458,652259,0,0,5394,4293,6988,999977,999977
"6",1990,"1990020","Oceania",NA,909,NA,4731848,34250,11579,2885,984,1783,1078,333,310,0,21,13574,388,26,64726,23632,99,178,493,4369,301,260,4620,34,17,351,25,509,0,22312,153,3644,6,1620,1755,30,15,20,25247,68,34506,3,6,15,0,29971,113897,62699,1699,2341,0,134,17467,236,34,49238,361,35,24036,17955,50,255,10520,34,6,23,1085,40862,8774,0,1272,2731,117,1489,78,17,55619,9718,54195,6,3043,20,18,17,132104,994,409,148090,0,89,9,1309,217,33,13,426,43,0,124,29394,342,81077,50153,17993,6169,59119,731,7756,271883,662,27663,2175,297,4950,4002,919,101,11687,10144,81858,43,63,1268,16,4818,125,137,360,81044,80,24,57407,337,20,16,20215,35,777,4946,37,36,1297,0,1463,386,10247,265,1394,632,128721,4070,306395,725,15,959,5837,40724,2221,2622,45,7271,2942,118,2354,277,3795,136812,75526,19115,1163,97,30924,15,51,12512,9478,44,31,17,16,0,22,63276,0,0,637,149,44312,2610,120,30307,0,2697,7227,2149,776,64239,0,15263,49076,2753,1218,68,6216,11517,5351,41,18505,9518,12,1681,21688,920,957,33246,25,0,2268,925,12675,561,1342562,1460,97760,0,11795,245,4693,606,140846,5588,0,221,2534,8941,132617,132617
"7",1995,"1995015","Africa",NA,903,NA,16357077,743076,263553,737,425,31839,0,0,494842,0,675,1087,578,0,5624,5253,23,81,1387,2551,18,934,8140,0,259640,38,0,98,0,277,20038,3221,14,69,2494,1205685,533243,11838,0,73629,6260,0,39497,207471,0,470,24303,1120,0,211,31691,49526,0,0,387032,487,1891,0,1389,1077,441,442632,2222,3011,0,0,9,37406,636,36868,324448,72,29199,560192,0,0,29,1227,152477,0,0,7186,19823,0,70879,250733,28,6952,0,0,0,0,63,345926,43011,34,0,0,0,412,13,41736,10794,925,36805,5101,0,2790,29338,119,4777,18019,635,89671,0,10377,45,20,163,21655,136062,507597,16757,0,157,80,20963,138253,10370,47,766443,133,0,0,137029,6941,3893,148,0,255,6,0,0,15222,731382,140,26097,14,110,15941,0,1341,66,173132,289062,13,161,17,994,1657,6492,0,36,36,72,128,4796,3922,28530,0,1199,2338,45,1509,1405,30767,2048983,137,16,0,0,0,0,0,10044,30625,216065,1550,9164,422929,778,0,220,42,0,777139,75410,430928,5766,2190,267526,448409,0,2573,7514,28033,381,3820,14,283471,0,0,16,4355,3307,142,0,0,282531,2489,2319,148505,162486,40804,30,69,337,0,209,98,0,166903,19942,108474,226145,47102,47102
"8",1995,"1995016","Asia",NA,935,NA,46418044,2000073,870403,3544112,2603,27454,0,0,781,0,0,32608,241155,12,38334,17485,673160,0,20243,5178700,0,160068,11397,0,3,0,117302,149,0,7221,3,225615,43,26791,476648,0,2,16,165281,20,40735,0,6,11458,0,2954,3088250,48382,81548,1823,0,162,0,61,0,184,129,0,9537,931,35990,259,4742,2,0,4,144,1132929,4,0,12051,3271,44,120252,0,0,1300,2452,51498,0,0,0,0,134515,287838,1349,2,91898,0,0,27,78,12,0,0,0,5,0,2,16881,36,5437844,1614403,140351,1035629,2091,0,99253,11549,6,64213,241248,105979,5677,0,56265,31792,273539,12151,87320,0,0,32059,0,22616,30,3,3,642079,1220,0,36,0,0,269,1459,0,3129,0,0,814,0,0,173772,4,857612,2,0,838765,26582,0,9657,4,33,6054,0,84485,0,10464,10107,2728557,4,7,12,3,44003,807971,103492,5133,12,10205,855240,51552,0,146592,4458442,0,0,0,0,0,0,0,0,0,62064,42,945,5,2,64938,0,256,91,0,68165,12021,7115,5947,581066,1967906,293239,39,6175,14854,457823,95503,148377,71387,0,0,0,6,43779,109640,10850,0,0,1472,745205,81723,156157,180,251804,30,4969,338037,0,711,199558,0,0,441636,999,108,292539,292539
"9",1995,"1995017","Europe",NA,908,NA,53489829,433073,1105232,111671,470652,897438,1021,3959,181366,729,2257,111649,602220,1153,157942,332410,1026080,1290,2879,163225,21497,1539316,288326,1277,15767,32029,603,13196,3284,1235393,2730,171336,233,2037,137245,9762,5912,74092,77898,56361,160341,617,9596,3791,15545,91081,374239,77883,1966,93468,19570,65579,10,3959,56333,623918,51275,44774,113430,206500,15289,106671,128584,3588,5761,53028,35777,153928,9629,9532,18007,107702,787,66369,628,9706,2231,237500,756345,6,75,9182,14744,809102,1588714,118907,9395,503795,10912,5581,24,3,11966,16065,24090,22520,31372,26,4110,195175,14983,591106,201009,282859,153118,602849,8266,58428,1611290,142655,113014,32543,3176920,129902,118,7810,515547,56530,172155,155705,411,8638,20662,2840,276955,34723,44647,11760,58010,306,53644,33492,2,4,14319,80268,0,39729,25,4368,26710,140983,5078,1644971,78760,12137,1491,6,7788,331738,82,58563,4232,3753,124198,0,330810,277,90499,1608,386867,16,3907,1051,4582,88671,203068,944299,1184057,327,1041,81906,549412,15,643704,6753149,9897,1912,3636,4826,26,4151,267,2420,9217,12701,135042,852865,4210,19884,44289,15991,176019,84650,201,82064,145568,1,817202,209079,6401,14394,167958,146918,231070,87198,457196,94147,2745,25711,2,294,20732,418418,2540146,231664,80,115,57760,4564732,4803,736856,36574,539700,100,23123,1156423,217,81517,306720,451,243,11366,21870,39460,743008,743008
"10",1995,"1995018","Latin America and the Caribbean",NA,904,NA,6688710,309782,66791,186,444,892,0,52,6115,1716,7277,201212,1337,5364,3438,11429,5,1746,55,62,5458,665,7781,3998,1,85,16,224671,401,35,5,186962,3855,2,2508,26,14,58,181,46,30095,94,16,18,81,283564,57469,2714,21,702750,2,105,12,20782,86,3062,62636,4807,132,6614,1966,47,2213,0,19551,93658,55695,5299,230465,2,26,219,3,180,23,2,10,855,131915,3170,12,8,14,29,73932,126,39,7800,454,17965,6591,6,80699,6,2,32354,260477,11,40739,8780,48,7634,623,1111,296,1368,0,8637,437440,17314,98573,1236,15,101,0,96,4,1493,468,31995,14,7,278,172,1710,264,29,4,222,2,49,69,0,12294,5,1,0,47184,10,30,8,238,2275,2211,1264,61,8,3,14,20756,4,561,228470,24,794,44,8495,7,1174,21,814,1,30798,5,317146,143233,2762,39701,321962,20191,35,17857,995,985,11167,22366,6,301,10997,13053,61,18453,0,40,11,1641,115,962,0,1,125,1116,155,1951,0,30,1227,0,426998,32,1493,23,20696,4035,14217,23565,4,362,0,13,0,136,15298,133,3768,3,1295,8,14,8360,44,37573,30,660543,2945,165688,26,205,78305,253,14,2,12,12,40,691238,691238
